"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 10:17:18 GMT 2024","Sun Apr 07 10:17:18 GMT 2024","40","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 10:18:14 GMT 2024","Sun Apr 07 10:18:14 GMT 2024","26","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 10:17:59 GMT 2024","Sun Apr 07 10:17:59 GMT 2024","8","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Sun Apr 07 10:17:28 GMT 2024","Sun Apr 07 10:17:28 GMT 2024","67","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 10:17:33 GMT 2024","Sun Apr 07 10:17:33 GMT 2024","45","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 10:17:13 GMT 2024","Sun Apr 07 10:17:13 GMT 2024","41","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 10:18:09 GMT 2024","Sun Apr 07 10:18:09 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 10:16:57 GMT 2024","Sun Apr 07 10:16:57 GMT 2024","35","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 10:17:49 GMT 2024","Sun Apr 07 10:17:49 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 10:17:08 GMT 2024","Sun Apr 07 10:17:08 GMT 2024","16","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 10:16:52 GMT 2024","Sun Apr 07 10:16:52 GMT 2024","625","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 10:17:54 GMT 2024","Sun Apr 07 10:17:54 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 10:18:04 GMT 2024","Sun Apr 07 10:18:04 GMT 2024","27","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 10:17:23 GMT 2024","Sun Apr 07 10:17:23 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 10:17:38 GMT 2024","Sun Apr 07 10:17:38 GMT 2024","41","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 10:17:02 GMT 2024","Sun Apr 07 10:17:03 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 10:17:43 GMT 2024","Sun Apr 07 10:17:43 GMT 2024","40","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
