"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 19:49:02 GMT 2024","Sun Apr 07 19:49:02 GMT 2024","26","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 19:54:38 GMT 2024","Sun Apr 07 19:54:44 GMT 2024","6404","tests.frontend","test_e2e_project","","","","test_create_project_with_nonlatin_id[chromium]",""
"passed","Sun Apr 07 19:53:21 GMT 2024","Sun Apr 07 19:53:25 GMT 2024","3463","tests.frontend","test_e2e_project","","","","Проверка удаления проекта UI","Тест проверяет удаление проекта через UI"
"passed","Sun Apr 07 19:53:30 GMT 2024","Sun Apr 07 19:53:36 GMT 2024","5992","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_name[chromium]",""
"passed","Sun Apr 07 19:51:14 GMT 2024","Sun Apr 07 19:51:20 GMT 2024","5995","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_name[firefox]",""
"passed","Sun Apr 07 19:50:32 GMT 2024","Sun Apr 07 19:50:39 GMT 2024","7057","tests.frontend","test_e2e_build","","","","Проверка удаления билда UI","Тест проверяет удаление билда через UI"
"passed","Sun Apr 07 19:52:54 GMT 2024","Sun Apr 07 19:53:01 GMT 2024","7170","tests.frontend","test_e2e_project","","","","Проверка удаления проекта UI","Тест проверяет удаление проекта через UI"
"passed","Sun Apr 07 19:53:09 GMT 2024","Sun Apr 07 19:53:14 GMT 2024","5556","tests.frontend","test_e2e_project","","","","Проверка удаления проекта UI","Тест проверяет удаление проекта через UI"
"passed","Sun Apr 07 19:50:47 GMT 2024","Sun Apr 07 19:50:51 GMT 2024","4535","tests.frontend","test_e2e_build","","","","Проверка удаления билда UI","Тест проверяет удаление билда через UI"
"passed","Sun Apr 07 19:52:06 GMT 2024","Sun Apr 07 19:52:10 GMT 2024","3615","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[webkit]",""
"passed","Sun Apr 07 19:49:57 GMT 2024","Sun Apr 07 19:50:03 GMT 2024","6085","tests.frontend","test_e2e_build","","","","Проверка создания билда UI","Тест проверяет создание нового билда через UI"
"passed","Sun Apr 07 19:54:04 GMT 2024","Sun Apr 07 19:54:10 GMT 2024","6199","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_id[chromium]",""
"passed","Sun Apr 07 19:53:56 GMT 2024","Sun Apr 07 19:53:58 GMT 2024","2655","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_name[webkit]",""
"passed","Sun Apr 07 19:48:01 GMT 2024","Sun Apr 07 19:48:01 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 19:54:17 GMT 2024","Sun Apr 07 19:54:22 GMT 2024","5170","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_id[firefox]",""
"passed","Sun Apr 07 19:48:21 GMT 2024","Sun Apr 07 19:48:21 GMT 2024","66","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 19:53:43 GMT 2024","Sun Apr 07 19:53:48 GMT 2024","4925","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_name[firefox]",""
"passed","Sun Apr 07 19:47:51 GMT 2024","Sun Apr 07 19:47:51 GMT 2024","31","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 19:48:52 GMT 2024","Sun Apr 07 19:48:52 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 19:47:56 GMT 2024","Sun Apr 07 19:47:56 GMT 2024","14","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 19:52:15 GMT 2024","Sun Apr 07 19:52:24 GMT 2024","8270","tests.frontend","test_e2e_project","","","","Проверка создания проекта UI","Тест проверяет создание нового проекта через UI"
"passed","Sun Apr 07 19:48:32 GMT 2024","Sun Apr 07 19:48:32 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 19:55:34 GMT 2024","Sun Apr 07 19:55:37 GMT 2024","2424","tests.frontend","test_header","","","","Проверка футера",""
"passed","Sun Apr 07 19:55:03 GMT 2024","Sun Apr 07 19:55:06 GMT 2024","2654","tests.frontend","test_e2e_project","","","","test_create_project_with_nonlatin_id[webkit]",""
"passed","Sun Apr 07 19:51:27 GMT 2024","Sun Apr 07 19:51:31 GMT 2024","3687","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_name[webkit]",""
"passed","Sun Apr 07 19:48:42 GMT 2024","Sun Apr 07 19:48:42 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 19:49:08 GMT 2024","Sun Apr 07 19:49:32 GMT 2024","24319","tests.frontend","test_e2e_build","","","","Проверка создания билда UI","Тест проверяет создание нового билда через UI"
"passed","Sun Apr 07 19:48:47 GMT 2024","Sun Apr 07 19:48:47 GMT 2024","6","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Sun Apr 07 19:47:46 GMT 2024","Sun Apr 07 19:47:46 GMT 2024","34","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 19:51:53 GMT 2024","Sun Apr 07 19:51:59 GMT 2024","5999","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[firefox]",""
"passed","Sun Apr 07 19:50:57 GMT 2024","Sun Apr 07 19:51:07 GMT 2024","9947","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_name[chromium]",""
"passed","Sun Apr 07 19:55:12 GMT 2024","Sun Apr 07 19:55:16 GMT 2024","4685","tests.frontend","test_header","","","","Проверка футера",""
"passed","Sun Apr 07 19:52:45 GMT 2024","Sun Apr 07 19:52:48 GMT 2024","3513","tests.frontend","test_e2e_project","","","","Проверка создания проекта UI","Тест проверяет создание нового проекта через UI"
"passed","Sun Apr 07 19:47:40 GMT 2024","Sun Apr 07 19:47:40 GMT 2024","506","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 19:49:41 GMT 2024","Sun Apr 07 19:49:48 GMT 2024","7269","tests.frontend","test_e2e_build","","","","Проверка создания билда UI","Тест проверяет создание нового билда через UI"
"passed","Sun Apr 07 19:55:23 GMT 2024","Sun Apr 07 19:55:27 GMT 2024","3847","tests.frontend","test_header","","","","Проверка футера",""
"passed","Sun Apr 07 19:52:32 GMT 2024","Sun Apr 07 19:52:37 GMT 2024","5804","tests.frontend","test_e2e_project","","","","Проверка создания проекта UI","Тест проверяет создание нового проекта через UI"
"passed","Sun Apr 07 19:48:16 GMT 2024","Sun Apr 07 19:48:16 GMT 2024","85","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 19:54:29 GMT 2024","Sun Apr 07 19:54:32 GMT 2024","2711","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_id[webkit]",""
"passed","Sun Apr 07 19:48:27 GMT 2024","Sun Apr 07 19:48:27 GMT 2024","43","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 19:54:51 GMT 2024","Sun Apr 07 19:54:56 GMT 2024","5020","tests.frontend","test_e2e_project","","","","test_create_project_with_nonlatin_id[firefox]",""
"passed","Sun Apr 07 19:50:08 GMT 2024","Sun Apr 07 19:50:25 GMT 2024","16547","tests.frontend","test_e2e_build","","","","Проверка удаления билда UI","Тест проверяет удаление билда через UI"
"passed","Sun Apr 07 19:51:37 GMT 2024","Sun Apr 07 19:51:46 GMT 2024","9443","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[chromium]",""
"passed","Sun Apr 07 19:48:37 GMT 2024","Sun Apr 07 19:48:37 GMT 2024","34","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 19:48:11 GMT 2024","Sun Apr 07 19:48:11 GMT 2024","36","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 19:48:57 GMT 2024","Sun Apr 07 19:48:57 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 19:48:06 GMT 2024","Sun Apr 07 19:48:06 GMT 2024","28","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
