"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 19:28:16 GMT 2024","Sun Apr 07 19:28:24 GMT 2024","7328","tests.frontend","test_e2e_build","","","","Проверка создания билда UI","Тест проверяет создание нового билда через UI"
"passed","Sun Apr 07 19:26:32 GMT 2024","Sun Apr 07 19:26:32 GMT 2024","32","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 19:26:27 GMT 2024","Sun Apr 07 19:26:27 GMT 2024","48","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 19:30:57 GMT 2024","Sun Apr 07 19:31:05 GMT 2024","8086","tests.frontend","test_e2e_project","","","","Проверка создания проекта UI","Тест проверяет создание нового проекта через UI"
"passed","Sun Apr 07 19:34:10 GMT 2024","Sun Apr 07 19:34:14 GMT 2024","4782","tests.frontend","test_header","","","","Проверка футера",""
"passed","Sun Apr 07 19:26:11 GMT 2024","Sun Apr 07 19:26:12 GMT 2024","32","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 19:26:22 GMT 2024","Sun Apr 07 19:26:22 GMT 2024","17","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 19:30:18 GMT 2024","Sun Apr 07 19:30:27 GMT 2024","8739","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[chromium]",""
"passed","Sun Apr 07 19:26:37 GMT 2024","Sun Apr 07 19:26:37 GMT 2024","29","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 19:32:25 GMT 2024","Sun Apr 07 19:32:32 GMT 2024","7149","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_name[chromium]",""
"passed","Sun Apr 07 19:26:06 GMT 2024","Sun Apr 07 19:26:06 GMT 2024","585","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 19:30:48 GMT 2024","Sun Apr 07 19:30:52 GMT 2024","3929","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[webkit]",""
"passed","Sun Apr 07 19:26:58 GMT 2024","Sun Apr 07 19:26:58 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 19:27:03 GMT 2024","Sun Apr 07 19:27:03 GMT 2024","30","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 19:31:38 GMT 2024","Sun Apr 07 19:31:41 GMT 2024","3678","tests.frontend","test_e2e_project","","","","Проверка создания проекта UI","Тест проверяет создание нового проекта через UI"
"passed","Sun Apr 07 19:32:52 GMT 2024","Sun Apr 07 19:32:55 GMT 2024","2986","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_name[webkit]",""
"passed","Sun Apr 07 19:33:49 GMT 2024","Sun Apr 07 19:33:54 GMT 2024","5109","tests.frontend","test_e2e_project","","","","test_create_project_with_nonlatin_id[firefox]",""
"passed","Sun Apr 07 19:29:39 GMT 2024","Sun Apr 07 19:29:48 GMT 2024","8990","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_name[chromium]",""
"passed","Sun Apr 07 19:33:01 GMT 2024","Sun Apr 07 19:33:07 GMT 2024","6350","tests.frontend","test_e2e_project","","","","test_create_project_with_empty_id[chromium]",""
"passed","Sun Apr 07 19:29:28 GMT 2024","Sun Apr 07 19:29:33 GMT 2024","4876","tests.frontend","test_e2e_build","","","","Проверка удаления билда UI","Тест проверяет удаление билда через UI"
"passed","Sun Apr 07 19:28:35 GMT 2024","Sun Apr 07 19:28:42 GMT 2024","7180","tests.frontend","test_e2e_build","","","","Проверка создания билда UI","Тест проверяет создание нового билда через UI"
"passed","Sun Apr 07 19:30:34 GMT 2024","Sun Apr 07 19:30:40 GMT 2024","6337","tests.frontend","test_e2e_build","","","","test_create_build_with_empty_id[firefox]",""
"passed","Sun Apr 07 19:27:23 GMT 2024","Sun Apr 07 19:27:23 GMT 2024","28","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
